ID_ร้าน,name
1,ลีลานวดไท - LILA THAI MASSAGE
2,เก็ตตะหว๋านวดแผนไทย - Getthawha Thai Massage
3,The Village Spa
4,Muse massage and spa
5,THE SIGNATURE RELAX & MASSAGE
6,Varalee Massage
7,Sense Massage and Spa
8,Nara Massage
9,LANTANA MASSAGE AND SPA
10,Wonder Touch Massage
11,เดย์ เดย์ นวดเพื่อสุขภาพ - day day massage
12,Vintage Thai Massage
13,Lantana Massage3
14,R8st Massage and Spa
15,Moment Massage
16,พอใจนวดเพื่อสุขภาพ - Porjai Massage
17,Friend Massage
18,Sukruethai Massage - สุขฤทัยนวดเพื่อสุขภาพ